hour,Heating,Cooling,DomesticHotWater,Electric
0,458600,650680,66500,228200
1,494550,650680,39540,245040
2,530480,650680,17980,277300
3,590800,650680,17980,291250
4,832670,650680,28760,213640
5,1251950,650680,61110,262360
6,1202420,650680,104250,325510
7,1088380,650680,141990,1791480
8,966960,650680,149180,3793540
9,882420,650680,177930,3995040
10,813770,650680,186920,4052620
11,803180,650680,208490,4228630
12,759880,650680,233650,3972700
13,741910,650680,221070,2697590
14,736620,650680,154580,2683870
15,711280,650680,143790,2909040
16,691220,650680,158160,2534470
17,691220,650680,215680,1728840
18,752500,650680,231850,1145270
19,687060,650680,285780,1854890
20,576230,650680,282180,1385920
21,594210,650680,208490,602740
22,567720,650680,147380,420420
23,540120,650680,111440,301720
5111,48380,650680,80120,221890
5112,35030,650680,54480,247320
5113,37930,650680,32060,263040
5114,40830,650680,16020,185100
5115,48790,650680,12830,182290
5116,63640,650680,12830,258130
5117,87380,650680,22440,194730
5118,87640,650680,28850,670540
5119,81930,2676320,41670,1538300
5120,76410,4251820,73720,2505930
5121,69980,6277470,134620,2715740
5122,66000,8640720,192310,2662550
5123,64370,10553830,224370,2680480
5124,61650,11116500,251610,2334910
5125,60200,11679180,248400,1863810
5126,59390,11904250,192310,1986880
5127,58120,11904250,169870,1891960
5128,57660,11904250,158660,1474180
5129,57660,11116500,192310,812300
5130,61830,10328760,250000,454350
5131,59650,8640720,259620,885370
5132,55750,5939860,254810,343060
5133,57200,650680,185900,502560
5134,53140,650680,128210,258900
